N	Date	Time	Current,mA	Voltage,V	Field,kV/cm	FrameN	RunN	Trig	TrigTime,s	
0000061	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000062	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000063	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000064	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000065	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000066	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000067	16.03.2022	15:53:39	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000068	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000069	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000070	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000071	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000072	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000073	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000074	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000075	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000076	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000077	16.03.2022	15:53:40	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000078	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000079	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000080	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000081	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000082	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000083	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000084	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000085	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000086	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000087	16.03.2022	15:53:41	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000088	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000089	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000090	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000091	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000092	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000093	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000094	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000095	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000096	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000097	16.03.2022	15:53:42	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000098	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000099	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000100	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000101	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00001	00001	1	00.00	
0000102	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00002	00001	0	01.26	
0000103	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000104	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000105	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000106	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000107	16.03.2022	15:53:43	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000108	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000109	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000110	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000111	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000112	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000113	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000114	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
